store_name,aliases,address,phone,days,open,close,notes,source_url
北投二店,台北北投二店;屈臣氏北投二店;北投二;北投二店門市;北投二店,台北市北投區中和街319號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
自強店,台北自強店;屈臣氏自強店;自強;自強店門市;自強店,台北市北投區自強街88號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
南二店,台北南二店;屈臣氏南二店;南二;南二店門市;南二店,台北市松山區南京東路五段64號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
民權店,台北民權店;屈臣氏民權店;民權;民權店門市;民權店,台北市松山區民權東路三段136號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
民環店,台北民環店;屈臣氏民環店;民環;民環店門市;民環店,台北市松山區民生東路五段188號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
民生店,台北民生店;屈臣氏民生店;民生;民生店門市;民生店,台北市松山區民生東路四段60號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
東興店,台北東興店;屈臣氏東興店;東興;東興店門市;東興店,台北市松山區南京東路5段301號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
延吉店,台北延吉店;屈臣氏延吉店;延吉;延吉店門市;延吉店,台北市松山區延吉街7號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
台安店,台北台安店;屈臣氏台安店;台安;台安店門市;台安店,台北市松山區八德路二段406號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
南寧店,台北南寧店;屈臣氏南寧店;南寧;南寧店門市;南寧店,台北市松山區南京東路四段131號,,每日,,,由 Watsons 官方 Open Chat 門市頁匯入；營業時間需用 Google Sheet、官方門市詳細頁或人工確認後填入。,https://www.watsons.com.tw/openchat
